Updated On,State,Total Tested,Tags,Positive,Negative,Unconfirmed,Unnamed: 7,Total People In Quarantine,Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Num Calls State Helpline,Source,Source2,Test positivity rate,Tests per thousand,Tests per million,Population (Source: covid19india),Unnamed: 20,Unnamed: 21,Unnamed: 22
17/04/2020,Andaman and Nicobar Islands,1403.0,Samples Sent,12.0,1210.0,181.0,,,,50.0,,,,https://t.me/indiacovid/2550,,0.86%,3.53,3534.0,397000,,,
24/04/2020,Andaman and Nicobar Islands,2679.0,Samples Sent,27.0,,246.0,,,,50.0,,,280.0,https://t.me/indiacovid/3147?single,,1.01%,6.75,6748.0,,,1000.0,1000000.0
27/04/2020,Andaman and Nicobar Islands,2848.0,Samples Sent,33.0,,106.0,,,,50.0,,,298.0,https://t.me/indiacovid/3365?single,,1.16%,7.17,7174.0,,,,
01/05/2020,Andaman and Nicobar Islands,3754.0,Samples Sent,33.0,,199.0,,643.0,,50.0,,,340.0,https://t.me/indiacovid/3781,,0.88%,9.46,9456.0,,,,
02/04/2020,Andhra Pradesh,1800.0,Tested,132.0,1175.0,493.0,,179.0,,23479.0,2680.0,330.0,,https://twitter.com/ArogyaAndhra/status/1245580598938198016?s=20,,7.33%,0.03,34.0,52221000,,,
10/04/2020,Andhra Pradesh,6374.0,Tested,365.0,6009.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.73%,0.12,122.0,,,,
11/04/2020,Andhra Pradesh,6958.0,Tested,381.0,6577.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.48%,0.13,133.0,,,,
12/04/2020,Andhra Pradesh,6958.0,Tested,405.0,6553.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.82%,0.13,133.0,,,,
13/04/2020,Andhra Pradesh,8755.0,Tested,432.0,8323.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.93%,0.17,168.0,,,,
14/04/2020,Andhra Pradesh,10505.0,Tested,473.0,10032.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.50%,0.2,201.0,,,,
15/04/2020,Andhra Pradesh,11613.0,Tested,525.0,11088.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.52%,0.22,222.0,,,,
16/04/2020,Andhra Pradesh,20235.0,Tested,534.0,19701.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.64%,0.39,387.0,,,,
17/04/2020,Andhra Pradesh,20235.0,Tested,572.0,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,https://t.me/indiacovid/2474,2.83%,0.39,387.0,,,,
18/04/2020,Andhra Pradesh,21450.0,Tested,603.0,20487.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.81%,0.41,411.0,,,,
19/04/2020,Andhra Pradesh,26958.0,Tested,647.0,26311.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.40%,0.52,516.0,,,,
20/04/2020,Andhra Pradesh,30733.0,Tested,722.0,30011.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.35%,0.59,589.0,,,,
21/04/2020,Andhra Pradesh,35755.0,Tested,757.0,34998.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.12%,0.68,685.0,,,,
22/04/2020,Andhra Pradesh,41512.0,Tested,813.0,40699.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.96%,0.79,795.0,,,,
23/04/2020,Andhra Pradesh,48032.0,Tested,893.0,47139.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.86%,0.92,920.0,,,,
24/04/2020,Andhra Pradesh,54338.0,Tested,955.0,53383.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.76%,1.04,1041.0,,,,
25/04/2020,Andhra Pradesh,61266.0,Tested,1016.0,60250.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.66%,1.17,1173.0,,,,
26/04/2020,Andhra Pradesh,68034.0,Tested,1097.0,66937.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.61%,1.3,1303.0,,,,
27/04/2020,Andhra Pradesh,74551.0,Tested,1177.0,73374.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.58%,1.43,1428.0,,,,
28/04/2020,Andhra Pradesh,80334.0,Tested,1259.0,79075.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.57%,1.54,1538.0,,,,
29/04/2020,Andhra Pradesh,88061.0,Tested,1332.0,86729.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.51%,1.69,1686.0,,,,
30/04/2020,Andhra Pradesh,94558.0,Tested,1403.0,93155.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.48%,1.81,1811.0,,,,
01/05/2020,Andhra Pradesh,102460.0,Tested,1463.0,100997.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.43%,1.96,1962.0,,,,
02/05/2020,Andhra Pradesh,108403.0,Tested,1525.0,106878.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.41%,2.08,2076.0,,,,
03/05/2020,Andhra Pradesh,114937.0,Tested,1583.0,113354.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.38%,2.2,2201.0,,,,
04/05/2020,Andhra Pradesh,125229.0,Tested,1650.0,123579.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.32%,2.4,2398.0,,,,
05/05/2020,Andhra Pradesh,133492.0,Tested,1717.0,131775.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.29%,2.56,2556.0,,,,
06/05/2020,Andhra Pradesh,141274.0,Tested,1777.0,139497.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.26%,2.71,2705.0,,,,
07/05/2020,Andhra Pradesh,149361.0,Tested,1833.0,147528.0,,,,,,,,,https://t.me/indiacovid/4173?single,,1.23%,2.86,2860.0,,,,
08/05/2020,Andhra Pradesh,156681.0,Tested,1887.0,154794.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.20%,3.0,3000.0,,,,
09/05/2020,Andhra Pradesh,165069.0,Tested,1930.0,163139.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.17%,3.16,3161.0,,,,
10/05/2020,Andhra Pradesh,173735.0,Tested,1980.0,171755.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.14%,3.33,3327.0,,,,
11/05/2020,Andhra Pradesh,181144.0,Tested,2018.0,179126.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.11%,3.47,3469.0,,,,
12/05/2020,Andhra Pradesh,191874.0,Tested,2051.0,189823.0,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.07%,3.67,3674.0,,,,
09/04/2020,Arunachal Pradesh,206.0,Samples Collected,1.0,185.0,20.0,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1248269356070363136?s=19,,0.49%,0.14,137.0,1504000,,,
14/04/2020,Arunachal Pradesh,280.0,Samples Collected,1.0,250.0,29.0,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1249901653634867200,,0.36%,0.19,186.0,,,,
17/04/2020,Arunachal Pradesh,363.0,Samples Collected,1.0,338.0,25.0,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251136883045752834,,0.28%,0.24,241.0,,,,
18/04/2020,Arunachal Pradesh,389.0,Samples Collected,1.0,358.0,31.0,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251485238477221889,,0.26%,0.26,259.0,,,,
20/04/2020,Arunachal Pradesh,439.0,Samples Collected,1.0,405.0,34.0,,,,,,,,https://twitter.com/ANI/status/1252454869983608832?s=09,,0.23%,0.29,292.0,,,,
21/04/2020,Arunachal Pradesh,454.0,Samples Collected,1.0,433.0,19.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.22%,0.3,302.0,,,,
22/04/2020,Arunachal Pradesh,496.0,Samples Collected,2.0,441.0,53.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.40%,0.33,330.0,,,,
